Date,Close,High,Low,Open,Volume,RSI,EMA_9,SMA_5,SMA_10,SMA_15,SMA_30,MACD,MACD_signal,target
2020-02-18,5025.56139968128,5565.01568334578,5523.60931665422,5536.031226661688,98436500,50.16168668229306,4871.249317957122,4690.880095292655,6992.108558956063,5231.746964318975,3836.2197704464306,94.3786971813041,-41.11191023387697,1
2020-02-19,5676.869666893618,5598.140776699029,5519.468679985063,5519.468679985063,74594000,33.04147138655837,5631.524610218707,5894.006817792394,5293.867327682964,5740.831745490621,6408.112159113612,80.66648969321362,-49.68842244274935,0
2020-02-20,4729.066152865977,5544.313232606971,5436.656664983534,5540.172595390684,136724500,75.6639341052826,5609.871632346383,5128.3301763448735,5292.0938923430895,4443.093543292311,5114.053509879901,-60.298516034239775,43.11376598642835,1
2020-02-21,5459.007738713142,5515.328231292518,5461.499952758882,5465.640589569161,98261000,64.31611200383217,5148.676872587077,5604.629148949302,4358.789731592839,6675.632159113251,5195.101801132694,37.588961760965844,62.04069022603155,1
2020-02-24,7518.261147983158,5465.640310704023,5391.108851921696,5436.655854510896,84910000,55.584072887785325,4710.742476698126,5362.898801006602,5281.691493503601,4895.580699505825,5892.150133110515,80.34555533585576,-59.92037567731675,0
2020-02-25,5580.365582024887,5432.515696784073,5391.10932714395,5424.234422856049,86446500,41.51502327251185,4964.183458566601,5956.384466585699,6465.988439595064,6513.590932815024,5716.02135817283,-38.05223605175732,52.88665311549591,1
2020-02-26,6897.530516240404,5411.812779887072,5316.578125,5382.82831970405,92824500,20.001360823674354,5258.82866677079,5284.248134252452,4818.27436657408,5751.612755568405,6143.5448083844985,-138.65368013625832,38.1593426752179,0
2020-02-27,5200.631654050585,5362.124454273897,5134.389438841416,5357.98381762967,129254500,19.88954723280703,4827.91665146336,5683.86750285194,6919.774140610043,4638.073562412044,3639.17075045642,-35.6493704446187,-133.6479267352252,1
2020-02-28,5796.974237573666,5208.9208984375,4997.748429581926,5134.389438841416,169946500,10.950177350569376,6058.067831915449,6167.19413104726,5996.6574241210465,4435.447742210086,5643.3189795486915,-83.18726694207507,-41.02950204686493,0
2020-03-02,4523.90630344334,5208.920899240594,4997.748430352462,5208.920899240594,144871500,11.777492853372062,4703.346539098906,4232.610428080345,5672.160982618147,6008.001479323176,5205.275966614382,-106.93460416967899,-51.18815714584648,1
2020-03-03,4846.455683855213,5258.609449169304,5134.390328322785,5134.390328322785,114663500,39.28053659423773,4698.582302012229,6434.580446566635,5781.247825351339,5923.075524118509,5826.31368434602,-95.8462033887013,15.461532516561313,0
2020-03-04,4671.819548267525,5382.826792083172,5184.076264375485,5229.623260308497,83025000,32.656542242520366,5918.325350125168,4866.845383618331,5131.500546021386,5502.246886167798,5920.603578035346,-10.45947406534259,-125.32680334500637,0
2020-03-05,4506.867934603449,5415.95337995338,5250.327894327895,5415.95337995338,77583000,43.239466528685895,4961.860339871819,5694.867991316295,5538.246729016239,4672.296513885856,5455.762412340318,-69.26322349504653,-38.2636548710781,1
2020-03-06,6642.393298139264,5258.608252740676,5134.38916015625,5258.608252740676,77835500,7.857679708072634,4787.012153492069,5903.311136720458,6119.951216158973,5326.097315377554,4486.817747459405,-121.27524865690614,-238.1116467942931,0
2020-03-09,4072.339745446586,5001.888254915731,4790.7158203125,4968.763167134832,140889500,34.09721491724009,3889.6533756949193,4408.183769881146,5255.943554485557,5847.041406099454,4234.734157030608,-71.40480615082839,-141.10302130607866,1
2020-03-10,4608.295111371643,4977.045613297732,4836.2639570147685,4836.2639570147685,133667000,16.06206651987998,4953.1397207228665,4436.001803407478,4147.636242696505,5450.679680682717,4662.720820381446,-190.22204731272436,-153.97327418998552,0
2020-03-11,4182.669591992981,4952.201974826389,4794.857764923879,4927.358152210203,93204500,26.19901373395661,5532.829964329967,6274.2353302749025,5586.84795504922,6317.721149629236,6603.527026072427,-163.52058071830342,-96.15355594206675,1
